n_rules	precision	recall	accuracy	balanced_accuracy
127	0.9000718907260963	0.4583562145341388	0.8281938325991189	0.7187879144131301
128	0.899641577060932	0.4594545121727988	0.8284061355554376	0.7192623136435828
129	0.8992137240886348	0.4605528098114589	0.8286184385117563	0.7197367128740356
130	0.8987883107626514	0.461651107450119	0.8288307414680749	0.7202111121044884
131	0.898365316275764	0.46274940508877904	0.8290430444243936	0.7206855113349412
132	0.8985455835402625	0.4636646531209958	0.8293084231197919	0.7211431353510496
133	0.8987252124645893	0.4645799011532125	0.8295738018151902	0.721600759367158
134	0.8989042064333687	0.4654951491854292	0.8298391805105886	0.7220583833832663
135	0.8990825688073395	0.466410397217646	0.8301045592059869	0.7225160073993746
136	0.8992603029235646	0.4673256452498627	0.8303699379013852	0.722973631415483
137	0.89943741209564	0.46824089328207946	0.8306353165967836	0.7234312554315914
138	0.8996138996138996	0.46915614131429617	0.8309006952921819	0.7238888794476998
139	0.8988803358992302	0.47025443895295627	0.831059922509421	0.7243259038837139
140	0.8987430167597765	0.471169686985173	0.8312722254657396	0.7247461531053836
141	0.8986062717770035	0.47208493501738974	0.8314845284220582	0.7251664023270533
